itemId,itemDescription,earliestDate
1,Instant food products,2014-01-01T00:00:00.000Z
2,UHT-milk,2014-01-02T00:00:00.000Z
3,abrasive cleaner,2014-01-21T00:00:00.000Z
4,artif. sweetener,2014-02-10T00:00:00.000Z
5,baby cosmetics,2014-01-09T00:00:00.000Z
6,bags,2014-03-20T00:00:00.000Z
7,baking powder,2014-01-05T00:00:00.000Z
8,bathroom cleaner,2014-06-10T00:00:00.000Z
9,beef,2014-01-02T00:00:00.000Z
10,berries,2014-01-01T00:00:00.000Z
11,beverages,2014-01-06T00:00:00.000Z
12,bottled beer,2014-01-01T00:00:00.000Z
13,bottled water,2014-01-01T00:00:00.000Z
14,brandy,2014-02-10T00:00:00.000Z
15,brown bread,2014-01-01T00:00:00.000Z
16,butter,2014-01-01T00:00:00.000Z
17,butter milk,2014-01-07T00:00:00.000Z
18,cake bar,2014-01-18T00:00:00.000Z
19,candles,2014-01-01T00:00:00.000Z
20,candy,2014-01-02T00:00:00.000Z
21,canned beer,2014-01-02T00:00:00.000Z
22,canned fish,2014-01-19T00:00:00.000Z
23,canned fruit,2014-01-16T00:00:00.000Z
24,canned vegetables,2014-01-23T00:00:00.000Z
25,cat food,2014-01-04T00:00:00.000Z
26,cereals,2014-01-18T00:00:00.000Z
27,chewing gum,2014-01-02T00:00:00.000Z
28,chicken,2014-01-09T00:00:00.000Z
29,chocolate,2014-01-01T00:00:00.000Z
30,chocolate marshmallow,2014-01-04T00:00:00.000Z
31,citrus fruit,2014-01-01T00:00:00.000Z
32,cleaner,2014-01-01T00:00:00.000Z
33,cling film/bags,2014-01-04T00:00:00.000Z
34,cocoa drinks,2014-01-24T00:00:00.000Z
35,coffee,2014-01-01T00:00:00.000Z
36,condensed milk,2014-01-12T00:00:00.000Z
37,cooking chocolate,2014-04-29T00:00:00.000Z
38,cookware,2014-02-22T00:00:00.000Z
39,cream,2014-04-20T00:00:00.000Z
40,cream cheese ,2014-01-05T00:00:00.000Z
41,curd,2014-01-01T00:00:00.000Z
42,curd cheese,2014-01-16T00:00:00.000Z
43,decalcifier,2014-01-31T00:00:00.000Z
44,dental care,2014-01-19T00:00:00.000Z
45,dessert,2014-01-02T00:00:00.000Z
46,detergent,2014-01-08T00:00:00.000Z
47,dish cleaner,2014-01-10T00:00:00.000Z
48,dishes,2014-01-01T00:00:00.000Z
49,dog food,2014-01-12T00:00:00.000Z
50,domestic eggs,2014-01-01T00:00:00.000Z
51,female sanitary products,2014-02-16T00:00:00.000Z
52,finished products,2014-01-19T00:00:00.000Z
53,fish,2014-01-23T00:00:00.000Z
54,flour,2014-01-03T00:00:00.000Z
55,flower (seeds),2014-01-01T00:00:00.000Z
56,flower soil/fertilizer,2014-07-12T00:00:00.000Z
57,frankfurter,2014-01-02T00:00:00.000Z
58,frozen chicken,2014-04-20T00:00:00.000Z
59,frozen dessert,2014-01-07T00:00:00.000Z
60,frozen fish,2014-01-18T00:00:00.000Z
61,frozen fruits,2014-04-20T00:00:00.000Z
62,frozen meals,2014-01-05T00:00:00.000Z
63,frozen potato products,2014-01-01T00:00:00.000Z
64,frozen vegetables,2014-01-01T00:00:00.000Z
65,fruit/vegetable juice,2014-01-02T00:00:00.000Z
66,grapes,2014-01-02T00:00:00.000Z
67,hair spray,2014-04-01T00:00:00.000Z
68,ham,2014-01-04T00:00:00.000Z
69,hamburger meat,2014-01-01T00:00:00.000Z
70,hard cheese,2014-01-02T00:00:00.000Z
71,herbs,2014-01-06T00:00:00.000Z
72,honey,2014-01-03T00:00:00.000Z
73,house keeping products,2014-01-16T00:00:00.000Z
74,hygiene articles,2014-01-05T00:00:00.000Z
75,ice cream,2014-01-03T00:00:00.000Z
76,instant coffee,2014-01-03T00:00:00.000Z
77,jam,2014-01-05T00:00:00.000Z
78,ketchup,2014-01-17T00:00:00.000Z
79,kitchen towels,2014-01-20T00:00:00.000Z
80,kitchen utensil,2014-08-14T00:00:00.000Z
81,light bulbs,2014-01-04T00:00:00.000Z
82,liqueur,2014-02-14T00:00:00.000Z
83,liquor,2014-01-04T00:00:00.000Z
84,liquor (appetizer),2014-01-09T00:00:00.000Z
85,liver loaf,2014-01-05T00:00:00.000Z
86,long life bakery product,2014-01-02T00:00:00.000Z
87,make up remover,2014-01-15T00:00:00.000Z
88,male cosmetics,2014-03-28T00:00:00.000Z
89,margarine,2014-01-02T00:00:00.000Z
90,mayonnaise,2014-01-07T00:00:00.000Z
91,meat,2014-01-05T00:00:00.000Z
92,meat spreads,2014-01-03T00:00:00.000Z
93,misc. beverages,2014-01-06T00:00:00.000Z
94,mustard,2014-01-03T00:00:00.000Z
95,napkins,2014-01-04T00:00:00.000Z
96,newspapers,2014-01-02T00:00:00.000Z
97,nut snack,2014-01-13T00:00:00.000Z
98,nuts/prunes,2014-01-19T00:00:00.000Z
99,oil,2014-01-03T00:00:00.000Z
100,onions,2014-01-01T00:00:00.000Z
101,organic products,2014-04-12T00:00:00.000Z
102,organic sausage,2014-01-18T00:00:00.000Z
103,other vegetables,2014-01-01T00:00:00.000Z
104,packaged fruit/vegetables,2014-01-18T00:00:00.000Z
105,pasta,2014-01-20T00:00:00.000Z
106,pastry,2014-01-03T00:00:00.000Z
107,pet care,2014-01-11T00:00:00.000Z
108,photo/film,2014-01-06T00:00:00.000Z
109,pickled vegetables,2014-01-07T00:00:00.000Z
110,pip fruit,2014-01-05T00:00:00.000Z
111,popcorn,2014-01-11T00:00:00.000Z
112,pork,2014-01-13T00:00:00.000Z
113,pot plants,2014-01-02T00:00:00.000Z
114,potato products,2014-01-23T00:00:00.000Z
115,preservation products,2014-03-01T00:00:00.000Z
116,processed cheese,2014-01-03T00:00:00.000Z
117,prosecco,2014-01-20T00:00:00.000Z
118,pudding powder,2014-03-08T00:00:00.000Z
119,ready soups,2014-04-11T00:00:00.000Z
120,red/blush wine,2014-01-04T00:00:00.000Z
121,rice,2014-01-07T00:00:00.000Z
122,roll products ,2014-01-02T00:00:00.000Z
123,rolls/buns,2014-01-02T00:00:00.000Z
124,root vegetables,2014-01-02T00:00:00.000Z
125,rubbing alcohol,2014-03-04T00:00:00.000Z
126,rum,2014-01-06T00:00:00.000Z
127,salad dressing,2014-04-03T00:00:00.000Z
128,salt,2014-01-09T00:00:00.000Z
129,salty snack,2014-01-02T00:00:00.000Z
130,sauces,2014-01-02T00:00:00.000Z
131,sausage,2014-01-01T00:00:00.000Z
132,seasonal products,2014-01-09T00:00:00.000Z
133,semi-finished bread,2014-01-02T00:00:00.000Z
134,shopping bags,2014-01-01T00:00:00.000Z
135,skin care,2014-04-13T00:00:00.000Z
136,sliced cheese,2014-01-01T00:00:00.000Z
137,snack products,2014-01-25T00:00:00.000Z
138,soap,2014-01-02T00:00:00.000Z
139,soda,2014-01-01T00:00:00.000Z
140,soft cheese,2014-01-06T00:00:00.000Z
141,softener,2014-01-12T00:00:00.000Z
142,soups,2014-01-04T00:00:00.000Z
143,sparkling wine,2014-01-11T00:00:00.000Z
144,specialty bar,2014-01-07T00:00:00.000Z
145,specialty cheese,2014-01-11T00:00:00.000Z
146,specialty chocolate,2014-01-01T00:00:00.000Z
147,specialty fat,2014-02-10T00:00:00.000Z
148,specialty vegetables,2014-02-10T00:00:00.000Z
149,spices,2014-02-22T00:00:00.000Z
150,spread cheese,2014-01-06T00:00:00.000Z
151,sugar,2014-01-05T00:00:00.000Z
152,sweet spreads,2014-01-05T00:00:00.000Z
153,syrup,2014-01-07T00:00:00.000Z
154,tea,2014-02-04T00:00:00.000Z
155,tidbits,2014-01-19T00:00:00.000Z
156,toilet cleaner,2014-03-23T00:00:00.000Z
157,tropical fruit,2014-01-01T00:00:00.000Z
158,turkey,2014-01-09T00:00:00.000Z
159,vinegar,2014-01-05T00:00:00.000Z
160,waffles,2014-01-01T00:00:00.000Z
161,whipped/sour cream,2014-01-01T00:00:00.000Z
162,whisky,2014-04-05T00:00:00.000Z
163,white bread,2014-01-02T00:00:00.000Z
164,white wine,2014-01-09T00:00:00.000Z
165,whole milk,2014-01-01T00:00:00.000Z
166,yogurt,2014-01-01T00:00:00.000Z
167,zwieback,2014-01-07T00:00:00.000Z
